,Accuracy,Specificity,Sensitivity
0,0.8333333333333334,0.6,1.0
1,0.75,0.6,0.8571428571428571
2,0.8333333333333334,1.0,0.7142857142857143
3,0.9166666666666666,1.0,0.8571428571428571
4,0.8333333333333334,0.8,0.8571428571428571
5,0.8333333333333334,0.8,0.8571428571428571
6,1.0,1.0,1.0
7,0.8333333333333334,0.8,0.8571428571428571
8,0.75,0.8,0.7142857142857143
9,0.9166666666666666,0.8,1.0
10,0.8333333333333334,0.8,0.8571428571428571
11,0.8333333333333334,0.6,1.0
12,0.75,0.8,0.7142857142857143
13,0.8333333333333334,0.6,1.0
14,0.8333333333333334,0.8,0.8571428571428571
15,0.9166666666666666,1.0,0.8571428571428571
16,1.0,1.0,1.0
17,1.0,1.0,1.0
18,0.8333333333333334,0.6,1.0
19,0.9166666666666666,0.8,1.0
20,0.8333333333333334,0.8,0.8571428571428571
21,0.8333333333333334,0.8,0.8571428571428571
22,1.0,1.0,1.0
23,0.6666666666666666,0.6,0.7142857142857143
24,0.9166666666666666,0.8,1.0
25,0.8333333333333334,0.8,0.8571428571428571
26,0.75,0.8,0.7142857142857143
27,0.8333333333333334,0.8,0.8571428571428571
28,1.0,1.0,1.0
29,0.8333333333333334,0.6,1.0
30,0.8333333333333334,0.8,0.8571428571428571
31,0.9166666666666666,0.8,1.0
32,1.0,1.0,1.0
33,0.75,0.6,0.8571428571428571
34,0.9166666666666666,0.8,1.0
35,0.8333333333333334,0.6,1.0
36,0.8333333333333334,0.8,0.8571428571428571
37,0.9166666666666666,0.8,1.0
38,1.0,1.0,1.0
39,0.9166666666666666,0.8,1.0
40,0.8333333333333334,0.8,0.8571428571428571
41,0.75,0.4,1.0
42,0.9166666666666666,0.8,1.0
43,0.9166666666666666,1.0,0.8571428571428571
44,0.9166666666666666,0.8,1.0
45,0.9166666666666666,0.8,1.0
46,0.9166666666666666,1.0,0.8571428571428571
47,1.0,1.0,1.0
48,0.8333333333333334,0.6,1.0
49,0.8333333333333334,0.6,1.0
50,0.9166666666666666,0.8,1.0
51,0.9166666666666666,0.8,1.0
52,0.8333333333333334,0.6,1.0
53,0.8333333333333334,0.6,1.0
54,0.9166666666666666,0.8,1.0
55,1.0,1.0,1.0
56,0.75,0.6,0.8571428571428571
57,0.8333333333333334,0.8,0.8571428571428571
58,0.9166666666666666,0.8,1.0
59,0.9166666666666666,0.8,1.0
60,0.8333333333333334,0.6,1.0
61,1.0,1.0,1.0
62,0.8333333333333334,0.6,1.0
63,1.0,1.0,1.0
64,0.9166666666666666,0.8,1.0
65,0.8333333333333334,0.8,0.8571428571428571
66,1.0,1.0,1.0
67,0.8333333333333334,0.8,0.8571428571428571
68,0.8333333333333334,0.6,1.0
69,0.8333333333333334,1.0,0.7142857142857143
70,0.9166666666666666,1.0,0.8571428571428571
71,1.0,1.0,1.0
72,0.8333333333333334,0.8,0.8571428571428571
73,0.9166666666666666,1.0,0.8571428571428571
74,0.9166666666666666,0.8,1.0
75,0.9166666666666666,0.8,1.0
76,0.9166666666666666,0.8,1.0
77,0.8333333333333334,0.6,1.0
78,0.8333333333333334,0.8,0.8571428571428571
79,0.9166666666666666,0.8,1.0
80,0.8333333333333334,0.8,0.8571428571428571
81,0.9166666666666666,1.0,0.8571428571428571
82,0.8333333333333334,0.8,0.8571428571428571
83,1.0,1.0,1.0
84,0.9166666666666666,0.8,1.0
85,0.9166666666666666,0.8,1.0
86,0.75,0.8,0.7142857142857143
87,0.9166666666666666,0.8,1.0
88,0.8333333333333334,0.8,0.8571428571428571
89,0.8333333333333334,0.6,1.0
90,0.8333333333333334,0.8,0.8571428571428571
91,0.9166666666666666,0.8,1.0
92,0.9166666666666666,1.0,0.8571428571428571
93,0.9166666666666666,0.8,1.0
94,0.8333333333333334,0.6,1.0
95,0.9166666666666666,0.8,1.0
96,0.75,0.4,1.0
97,0.75,0.6,0.8571428571428571
98,1.0,1.0,1.0
99,0.9166666666666666,0.8,1.0
100,0.9166666666666666,1.0,0.8571428571428571
101,1.0,1.0,1.0
102,0.9166666666666666,1.0,0.8571428571428571
103,0.8333333333333334,0.8,0.8571428571428571
104,0.8333333333333334,0.8,0.8571428571428571
105,0.8333333333333334,0.8,0.8571428571428571
106,0.8333333333333334,1.0,0.7142857142857143
107,0.9166666666666666,0.8,1.0
108,0.9166666666666666,0.8,1.0
109,0.9166666666666666,0.8,1.0
110,1.0,1.0,1.0
111,0.9166666666666666,1.0,0.8571428571428571
112,0.8333333333333334,0.6,1.0
113,0.8333333333333334,0.8,0.8571428571428571
114,0.9166666666666666,0.8,1.0
