Group,File,Accuracy_mean,Specificity_mean,Sensitivity_mean,Accuracy_std,Specificity_std,Sensitivity_std,Accuracy_n,Specificity_n,Sensitivity_n
Scaffold,Scaffold.csv,0.8896666666666666,0.808,0.948,0.07079635043097515,0.14899059768387368,0.08711660914718551,1000,1000,1000
B Naive,BNaive.csv,0.8676000000000001,0.8216966810966811,0.9034649211899213,0.07857602668592725,0.15884778694370175,0.09252962513241132,1000,1000,1000
CD4 EM,CD4EM.csv,0.8036000000000001,0.7865065295815296,0.8239876456876458,0.09196586291752204,0.17152720117010142,0.12664608285969778,1000,1000,1000
CD8 Naive,CD8Naive.csv,0.8850666666666668,0.8956291486291487,0.8800751387501389,0.07096030054292385,0.12480311312862438,0.10356960775688191,1000,1000,1000
C Monocyte,CMonocyte.csv,0.8176000000000001,0.890724025974026,0.780339824064824,0.09583250133831019,0.13952854085193922,0.13574876471428957,1000,1000,1000
NK,NK.csv,0.7897333333333334,0.7429544372294372,0.8249068792318792,0.09634134620359848,0.17860602214059965,0.13166127279444995,1000,1000,1000
Treg,Treg.csv,0.8866666666666667,0.9210215265770821,0.8660029803529804,0.0795941210957314,0.1128792152969487,0.11449328827813313,1000,999,1000
