,Accuracy,Specificity,Sensitivity
0,0.8666666666666667,0.75,0.9090909090909091
1,0.8666666666666667,0.75,1.0
2,0.8,0.5714285714285714,1.0
3,0.9333333333333333,1.0,0.9
4,0.9333333333333333,1.0,0.9230769230769231
5,0.7333333333333333,0.5,0.8888888888888888
6,0.8666666666666667,1.0,0.8181818181818182
7,0.9333333333333333,1.0,0.875
8,0.9333333333333333,1.0,0.9090909090909091
9,0.8666666666666667,1.0,0.7777777777777778
10,0.9333333333333333,0.875,1.0
11,1.0,1.0,1.0
12,0.9333333333333333,1.0,0.9
13,0.9333333333333333,1.0,0.9
14,0.9333333333333333,1.0,0.9
15,0.9333333333333333,0.6666666666666666,1.0
16,0.8,0.8,0.8
17,0.8666666666666667,0.8,0.9
18,0.8,0.75,0.8571428571428571
19,0.8666666666666667,0.7777777777777778,1.0
20,0.8666666666666667,0.875,0.8571428571428571
21,0.8666666666666667,1.0,0.7777777777777778
22,0.8666666666666667,0.7142857142857143,1.0
23,1.0,1.0,1.0
24,0.9333333333333333,0.8888888888888888,1.0
25,0.9333333333333333,1.0,0.875
26,0.8666666666666667,0.8888888888888888,0.8333333333333334
27,0.8666666666666667,0.8,0.9
28,0.9333333333333333,1.0,0.8888888888888888
29,1.0,1.0,1.0
30,0.8666666666666667,0.7142857142857143,1.0
31,0.9333333333333333,1.0,0.9
32,1.0,1.0,1.0
33,0.9333333333333333,1.0,0.9
34,0.8,1.0,0.6666666666666666
35,1.0,1.0,1.0
36,0.7333333333333333,0.6,0.8
37,0.8,0.7142857142857143,0.875
38,0.8,0.75,0.8571428571428571
39,0.8666666666666667,0.8571428571428571,0.875
40,0.8,0.5,0.9090909090909091
41,0.9333333333333333,1.0,0.875
42,0.9333333333333333,0.8,1.0
43,0.7333333333333333,0.6666666666666666,0.8333333333333334
44,0.7333333333333333,0.5714285714285714,0.875
45,0.8,0.8,0.8
46,0.9333333333333333,0.8571428571428571,1.0
47,0.8,0.8181818181818182,0.75
48,0.9333333333333333,0.8,1.0
49,0.7333333333333333,0.5,0.8181818181818182
50,0.8666666666666667,0.8571428571428571,0.875
51,0.9333333333333333,0.8,1.0
52,0.8666666666666667,0.7142857142857143,1.0
53,0.9333333333333333,0.9,1.0
54,0.8,0.8571428571428571,0.75
55,0.8,0.6666666666666666,1.0
56,0.7333333333333333,0.25,0.9090909090909091
57,0.8666666666666667,1.0,0.8
58,0.8,0.6,0.9
59,0.8666666666666667,0.875,0.8571428571428571
60,0.8,0.6666666666666666,0.8333333333333334
61,0.8,0.5,0.9090909090909091
62,0.8666666666666667,0.7777777777777778,1.0
63,0.7333333333333333,0.625,0.8571428571428571
64,0.9333333333333333,1.0,0.9
65,0.8666666666666667,0.8571428571428571,0.875
66,0.9333333333333333,0.8571428571428571,1.0
67,0.8,0.625,1.0
68,0.8,0.5,1.0
69,0.8,1.0,0.7
70,0.8666666666666667,0.75,0.9090909090909091
71,0.8666666666666667,0.6666666666666666,0.9166666666666666
72,0.9333333333333333,1.0,0.9
73,0.8666666666666667,0.6666666666666666,1.0
74,0.8666666666666667,0.75,0.9090909090909091
75,0.9333333333333333,0.8,1.0
76,0.8,0.6666666666666666,0.8888888888888888
77,0.8666666666666667,0.8571428571428571,0.875
78,0.8666666666666667,0.8888888888888888,0.8333333333333334
79,0.8666666666666667,1.0,0.7777777777777778
80,0.9333333333333333,0.8571428571428571,1.0
81,0.8666666666666667,0.75,1.0
82,0.6,0.6666666666666666,0.5555555555555556
83,0.8666666666666667,0.8333333333333334,0.8888888888888888
84,0.9333333333333333,0.8333333333333334,1.0
85,0.9333333333333333,1.0,0.8888888888888888
86,0.7333333333333333,0.8,0.7
87,0.9333333333333333,0.8333333333333334,1.0
88,0.8666666666666667,0.8333333333333334,0.8888888888888888
89,0.9333333333333333,1.0,0.875
90,0.8666666666666667,0.8,0.9
91,0.9333333333333333,0.8,1.0
92,0.8666666666666667,0.75,1.0
93,0.9333333333333333,1.0,0.8888888888888888
94,0.7333333333333333,0.7142857142857143,0.75
95,0.9333333333333333,1.0,0.9090909090909091
96,0.9333333333333333,0.8888888888888888,1.0
97,0.8666666666666667,0.8333333333333334,0.8888888888888888
98,0.9333333333333333,1.0,0.9166666666666666
99,0.8666666666666667,0.875,0.8571428571428571
100,0.8,0.625,1.0
101,0.9333333333333333,0.875,1.0
102,0.8666666666666667,0.8,0.9
103,0.9333333333333333,1.0,0.9166666666666666
104,0.9333333333333333,1.0,0.8888888888888888
105,1.0,1.0,1.0
106,0.9333333333333333,0.8,1.0
107,0.8,0.7142857142857143,0.875
108,0.7333333333333333,0.6666666666666666,0.7777777777777778
109,0.8666666666666667,0.8,0.9
110,1.0,1.0,1.0
111,0.8666666666666667,1.0,0.7777777777777778
112,0.8666666666666667,1.0,0.7777777777777778
113,0.9333333333333333,0.8333333333333334,1.0
114,0.6666666666666666,0.6,0.7
115,0.8,0.5714285714285714,1.0
116,0.8666666666666667,0.6666666666666666,1.0
117,0.9333333333333333,1.0,0.9
118,0.8666666666666667,0.8571428571428571,0.875
119,0.9333333333333333,0.8571428571428571,1.0
120,0.7333333333333333,0.6666666666666666,0.8333333333333334
121,0.8,0.3333333333333333,0.9166666666666666
122,0.8,0.75,0.8571428571428571
123,0.9333333333333333,1.0,0.8888888888888888
124,0.8666666666666667,0.8571428571428571,0.875
125,0.8666666666666667,0.8571428571428571,0.875
126,0.9333333333333333,0.8333333333333334,1.0
127,0.8666666666666667,0.6666666666666666,1.0
128,0.8666666666666667,0.8333333333333334,0.8888888888888888
129,0.8,0.625,1.0
130,0.8,0.6666666666666666,0.8888888888888888
131,0.7333333333333333,0.5,1.0
132,0.8,0.4,1.0
133,0.8666666666666667,1.0,0.8
134,0.8666666666666667,1.0,0.8333333333333334
135,0.8666666666666667,0.7777777777777778,1.0
136,0.7333333333333333,0.5,0.8181818181818182
137,1.0,1.0,1.0
138,0.9333333333333333,1.0,0.8888888888888888
139,0.8666666666666667,0.7142857142857143,1.0
140,0.9333333333333333,1.0,0.9090909090909091
141,0.8666666666666667,0.6666666666666666,1.0
142,0.8666666666666667,0.6666666666666666,0.9166666666666666
143,0.8,0.6,0.9
144,0.8666666666666667,0.8333333333333334,0.8888888888888888
145,0.8666666666666667,0.8888888888888888,0.8333333333333334
146,0.8666666666666667,1.0,0.8
147,0.9333333333333333,1.0,0.875
148,0.8,0.6666666666666666,0.8888888888888888
149,0.8666666666666667,1.0,0.7777777777777778
150,1.0,1.0,1.0
151,0.8,1.0,0.75
152,0.8666666666666667,0.6,1.0
153,0.8666666666666667,0.8333333333333334,0.8888888888888888
154,0.9333333333333333,1.0,0.8888888888888888
155,0.8,0.75,0.8571428571428571
156,0.9333333333333333,0.8333333333333334,1.0
157,0.9333333333333333,0.8,1.0
158,1.0,1.0,1.0
159,0.8666666666666667,0.7142857142857143,1.0
160,0.9333333333333333,1.0,0.875
161,0.8666666666666667,0.8333333333333334,0.8888888888888888
162,0.9333333333333333,1.0,0.875
163,0.6666666666666666,0.5454545454545454,1.0
164,0.8666666666666667,0.8571428571428571,0.875
165,0.8,0.8181818181818182,0.75
166,0.6666666666666666,0.5,0.7777777777777778
167,0.9333333333333333,1.0,0.9
168,0.9333333333333333,0.875,1.0
169,0.9333333333333333,0.8333333333333334,1.0
170,0.9333333333333333,1.0,0.9
171,0.9333333333333333,0.875,1.0
172,0.8,0.6666666666666666,0.8333333333333334
173,0.9333333333333333,0.8,1.0
174,0.6666666666666666,0.8,0.6
175,0.8,0.8,0.8
176,1.0,1.0,1.0
177,0.9333333333333333,0.8,1.0
178,0.7333333333333333,0.625,0.8571428571428571
179,1.0,1.0,1.0
180,0.9333333333333333,1.0,0.8888888888888888
181,0.8666666666666667,0.875,0.8571428571428571
182,0.8666666666666667,0.7142857142857143,1.0
183,0.8,0.8333333333333334,0.7777777777777778
184,1.0,1.0,1.0
185,0.8666666666666667,1.0,0.8333333333333334
186,0.9333333333333333,0.8333333333333334,1.0
187,0.9333333333333333,1.0,0.875
188,0.9333333333333333,0.8,1.0
189,0.9333333333333333,1.0,0.8571428571428571
190,0.8,0.6666666666666666,1.0
191,0.7333333333333333,0.5555555555555556,1.0
192,0.8666666666666667,0.8,0.9
193,0.8666666666666667,0.875,0.8571428571428571
194,0.8666666666666667,0.5,1.0
195,0.8666666666666667,0.8571428571428571,0.875
196,1.0,1.0,1.0
197,0.8666666666666667,0.8333333333333334,0.8888888888888888
198,0.7333333333333333,0.8,0.7
199,0.7333333333333333,0.5,0.8888888888888888
200,0.6666666666666666,0.75,0.6363636363636364
201,0.9333333333333333,0.8333333333333334,1.0
202,0.8666666666666667,0.875,0.8571428571428571
203,0.8,0.5,1.0
204,1.0,1.0,1.0
205,0.8666666666666667,0.8,1.0
206,0.8666666666666667,0.875,0.8571428571428571
207,0.8666666666666667,0.8,0.9
208,0.8666666666666667,0.6666666666666666,0.9166666666666666
209,0.8,0.6666666666666666,0.8888888888888888
210,0.8,0.25,1.0
211,0.7333333333333333,0.6666666666666666,0.8333333333333334
212,0.6666666666666666,0.7142857142857143,0.625
213,0.9333333333333333,0.8333333333333334,1.0
214,0.8666666666666667,0.8,0.9
215,0.8666666666666667,0.75,1.0
216,0.8,0.7142857142857143,0.875
217,0.7333333333333333,0.8,0.7
218,0.9333333333333333,1.0,0.9090909090909091
219,0.9333333333333333,1.0,0.8571428571428571
220,0.8666666666666667,0.6666666666666666,1.0
221,0.8,0.8571428571428571,0.75
222,0.9333333333333333,0.8333333333333334,1.0
223,0.9333333333333333,0.8888888888888888,1.0
224,0.8666666666666667,0.8,0.9
225,0.9333333333333333,0.75,1.0
226,0.9333333333333333,1.0,0.875
227,0.9333333333333333,0.8571428571428571,1.0
228,0.8,0.7142857142857143,0.875
229,0.9333333333333333,1.0,0.8888888888888888
230,0.8,0.8333333333333334,0.7777777777777778
231,0.9333333333333333,0.8,1.0
232,0.7333333333333333,0.42857142857142855,1.0
233,0.8666666666666667,0.6,1.0
234,0.8666666666666667,0.8571428571428571,0.875
235,0.8,0.5,1.0
236,0.8666666666666667,0.8888888888888888,0.8333333333333334
237,0.9333333333333333,0.8333333333333334,1.0
238,0.8,0.6666666666666666,0.8888888888888888
239,1.0,1.0,1.0
240,0.6666666666666666,0.2857142857142857,1.0
241,0.7333333333333333,0.6,0.8
242,0.9333333333333333,0.8571428571428571,1.0
243,0.9333333333333333,1.0,0.875
244,0.9333333333333333,1.0,0.9
245,0.8,0.8571428571428571,0.75
246,0.9333333333333333,1.0,0.9
247,0.7333333333333333,0.8571428571428571,0.625
248,0.8,0.7,1.0
249,0.8666666666666667,0.8333333333333334,0.8888888888888888
250,0.8666666666666667,0.6,1.0
251,0.8666666666666667,0.8333333333333334,0.8888888888888888
252,0.8666666666666667,0.6666666666666666,1.0
253,0.8666666666666667,0.875,0.8571428571428571
254,0.7333333333333333,0.5,1.0
255,0.9333333333333333,0.8571428571428571,1.0
256,0.8666666666666667,1.0,0.8181818181818182
257,0.8,0.6666666666666666,0.8888888888888888
258,0.9333333333333333,1.0,0.8571428571428571
259,0.8666666666666667,0.6666666666666666,1.0
260,0.9333333333333333,1.0,0.9
261,0.9333333333333333,0.8,1.0
262,0.8,1.0,0.7272727272727273
263,0.8666666666666667,0.8571428571428571,0.875
264,0.8666666666666667,1.0,0.8333333333333334
265,0.9333333333333333,1.0,0.9090909090909091
266,0.8,1.0,0.7
267,1.0,1.0,1.0
268,0.8666666666666667,0.8,0.9
269,0.8666666666666667,0.8,0.9
270,0.8,0.6666666666666666,0.8888888888888888
271,1.0,1.0,1.0
272,0.9333333333333333,1.0,0.875
273,0.8666666666666667,0.7777777777777778,1.0
274,0.8,0.75,0.8181818181818182
275,0.8,0.8333333333333334,0.7777777777777778
276,0.8666666666666667,0.8333333333333334,0.8888888888888888
277,0.8666666666666667,0.875,0.8571428571428571
278,0.9333333333333333,0.8571428571428571,1.0
279,0.8,1.0,0.75
280,0.9333333333333333,1.0,0.8
281,0.8666666666666667,0.75,1.0
282,0.9333333333333333,0.8571428571428571,1.0
283,0.8666666666666667,1.0,0.8333333333333334
284,0.8,0.8,0.8
285,0.7333333333333333,0.5714285714285714,0.875
286,1.0,1.0,1.0
287,0.9333333333333333,1.0,0.9166666666666666
288,0.8,0.6666666666666666,0.8888888888888888
289,0.9333333333333333,0.6666666666666666,1.0
290,0.7333333333333333,0.5555555555555556,1.0
291,0.8666666666666667,0.8888888888888888,0.8333333333333334
292,0.8,0.75,0.8181818181818182
293,0.9333333333333333,1.0,0.9090909090909091
294,0.9333333333333333,0.8571428571428571,1.0
295,0.9333333333333333,1.0,0.8888888888888888
296,0.9333333333333333,0.75,1.0
297,0.9333333333333333,0.8571428571428571,1.0
298,0.8666666666666667,0.8,1.0
299,0.9333333333333333,1.0,0.8333333333333334
300,0.7333333333333333,0.6666666666666666,0.7777777777777778
301,1.0,1.0,1.0
302,1.0,1.0,1.0
303,0.8666666666666667,0.875,0.8571428571428571
304,0.8666666666666667,0.7142857142857143,1.0
305,0.9333333333333333,0.75,1.0
306,0.8,0.6666666666666666,0.8888888888888888
